Date Made Public,Name & Location,type,Number of Records
4/21/2006,"Ohio University Innovation Center (Athens, OH)","a server containing data including e-mails, patent and intellectual property files, and 35 Social Security numbers associated with parking passes was compromised.",Unknown
7/26/2006,"West Virginia Div. of Rehabilitation Services (Beckley, WV)","A laptop was stolen July 24 containing clients' names, addresses, SSNs, and phone numbers. Data was password protected.",Unknown
8/8/2006,"Linens 'n Things (Sterling, VA)",A folder holding about 90 receipts was missing from the store. Receipts included full credit or debit account number and name of the card holder.,90
8/31/2006,"Diebold, Inc. (Canton, OH)","An employee's laptop was stolen containing employee information, including name, SSN, and if applicable, corporate credit card number.",Unknown
9/23/2006,"Erlanger Health System (Chattanooga, TN)","Records of hospital employees disappeared from a locked office on Sept. 15. They were stored on a USB ""jump drive."" Information was limited to names and SSNs. Those affected included anyone who went through job ""status changes"" from Nov. 2003 to Sept. 2006.","4,150 current and former employees"
10/5/2006,San Juan Capistrano Unified School District (CA),"Five computers stolen from the HQ of San Juan Capistrano Unified School District likely contain the names, SSNs and dates of birth of district employees enrolled in an insurance program.",Unknown
10/16/2006,VISA/FirstBank,FirstBank sent a letter to an unknown number of customers informing them their FirstTeller Visa Check Card numbers were compromised when someone accessed ?a merchant card processor's transaction database.? The FirstBank letter said customers would receive new cards by October 27.,Unknown
11/3/2006,"West Shore Bank (Ludington, MI)",Customers' debit cards and possibly credit cards were compromised from a security break last summer at a common MasterCard point-of-purchase provider.,"About 1,000"
2/7/2007,"Front Range Ski Shop (Denver, CO)",The shop's Web site was broken into and customer information including credit card account data may have been accessed.,"15,000 customers"
3/20/2007,"Tax Service Plus (Santa Rosa, CA)","Thieves stole the company's backup computer, which contained financial data on thousands of tax returns dating back three years.","4,000"
7/25/2007,"Hidalgo County Commissioner?s Office (Hidalgo County, TX)","The private medical information, including Social Security numbers and treatment details of people who sought medical assistance from the county was posted on the Hidalgo County Website.",25
9/1/2007,"Johns Hopkins Hospital (Baltimore, MD)","A desktop computer containing the personal information of 5,783 Johns Hopkins Hospital patients was stolen. The computer included patients' names, Social Security numbers, birth dates and medical histories.","5,783"
12/4/2007,"Indianapolis Power and Light (Indianapolis, IN) (317) 261-4845","The private information of thousands of customers was inadvertently posted online for up to four years. Data included names, addresses and Social Security numbers.","3,000"
1/3/2008,"Robotics Industries Association (Ann Arbor, MI)","A hacker accessed the administration site for Robotics Online gaining access to individual orders that contained credit card information. Seven residents of NH were affected, but national totals were not indicated.",Unknown
2/2/2008,"Diocese of Providence (Providence, RI)","Four computers were taken, and one had personal information on current and former Catholic school employees. The theft possibly exposed names, addresses and Social Security numbers.","5,000"
3/10/2008,"Blue-Cross Blue-Shield of Western New York (Buffalo, NY)",A laptop hard-drive containing vital information about members has gone missing. Blue-Cross Blue-Shield of Western New York says it is notifying its members about identity theft concerns after one of it's company laptops went missing.,"40,000"
5/4/2008,"Staten Island University Hospital (Staten Island, NY)",Computer equipment stolen from an administrator contained personal information from patients. Social Security numbers and health insurance numbers were contained in computer files on a desktop computer and the backup hard drive.,"88,000"
6/4/2008,"Oregon State University (Corvallis, OR)",The Oregon State Police are investigating the theft of personal information from online customers of the OSU Bookstore who used credit cards to purchase items.,"4,700"
6/27/2008,"Montgomery Ward (Cedar Rapids, IA)",Hackers extracted stolen information from an online database that held credit card account information.,"51,000"
8/14/2008,"Wuesthoff Medical Center (Rockledge, FL)","Hundreds of people in Brevard County found out their personal information was stolen. Names, Social Security numbers and even personal medical information were posted on the Internet.",500
